Transition, Time (secs), Satisfiable
transition__S06__a__S05__mediante_met_requestLockerAccess,0.0,false
transition__S01__a__S04__mediante_met_shareWithThirdParty,0.0,false
transition__S05__a__S04__mediante_met_uploadDocuments,0.0,false
transition__S01__a__S05__mediante_met_shareWithThirdParty,0.015,false
transition__S06__a__S06__mediante_met_requestLockerAccess,0.015,false
transition__S05__a__S05__mediante_met_uploadDocuments,0.022,false
transition__S01__a__S06__mediante_met_shareWithThirdParty,0.0,false
transition__S06__a__S01__mediante_met_releaseLockerAccess,0.0,false
transition__S05__a__S06__mediante_met_uploadDocuments,0.007,false
transition__S06__a__S02__mediante_met_releaseLockerAccess,0.006,false
transition__S02__a__S01__mediante_met_shareWithThirdParty,0.008,false
transition__S03__a__S01__mediante_met_shareWithThirdParty,0.008,false
transition__S06__a__S03__mediante_met_releaseLockerAccess,0.007,false
transition__S02__a__S02__mediante_met_shareWithThirdParty,0.007,false
transition__S03__a__S02__mediante_met_shareWithThirdParty,0.007,false
transition__S06__a__S04__mediante_met_releaseLockerAccess,0.004,false
transition__S02__a__S03__mediante_met_shareWithThirdParty,0.002,false
transition__S03__a__S03__mediante_met_shareWithThirdParty,0.0,false
transition__S06__a__S05__mediante_met_releaseLockerAccess,0.0,false
transition__S03__a__S04__mediante_met_shareWithThirdParty,0.0,false
transition__S02__a__S04__mediante_met_shareWithThirdParty,0.0,false
transition__S06__a__S06__mediante_met_releaseLockerAccess,0.013,false
transition__S02__a__S05__mediante_met_shareWithThirdParty,0.003,false
transition__S06__a__S01__mediante_met_revokeAccessFromThirdParty,0.008,false
transition__S03__a__S05__mediante_met_shareWithThirdParty,0.009,true
transition__S02__a__S06__mediante_met_shareWithThirdParty,0.008,false
transition__S06__a__S02__mediante_met_revokeAccessFromThirdParty,0.004,false
transition__S03__a__S06__mediante_met_shareWithThirdParty,0.002,false
transition__S01__a__S01__mediante_met_acceptSharingRequest,0.006,false
transition__S06__a__S03__mediante_met_revokeAccessFromThirdParty,0.006,false
transition__S04__a__S01__mediante_met_shareWithThirdParty,0.01,false
transition__S01__a__S02__mediante_met_acceptSharingRequest,0.006,false
transition__S06__a__S04__mediante_met_revokeAccessFromThirdParty,0.01,false
transition__S04__a__S02__mediante_met_shareWithThirdParty,0.01,false
transition__S01__a__S03__mediante_met_acceptSharingRequest,0.01,false
transition__S06__a__S05__mediante_met_revokeAccessFromThirdParty,0.006,false
transition__S04__a__S03__mediante_met_shareWithThirdParty,0.002,false
transition__S06__a__S06__mediante_met_revokeAccessFromThirdParty,0.005,false
transition__S01__a__S04__mediante_met_acceptSharingRequest,0.005,false
transition__S01__a__S05__mediante_met_acceptSharingRequest,0.0,false
transition__S04__a__S04__mediante_met_shareWithThirdParty,0.005,false
transition__S06__a__S01__mediante_met_terminate,0.007,false
transition__S01__a__S06__mediante_met_acceptSharingRequest,0.004,false
transition__S04__a__S05__mediante_met_shareWithThirdParty,0.004,false
transition__S06__a__S02__mediante_met_terminate,0.006,false
transition__S02__a__S01__mediante_met_acceptSharingRequest,0.006,false
transition__S04__a__S06__mediante_met_shareWithThirdParty,0.006,false
transition__S06__a__S03__mediante_met_terminate,0.005,false
transition__S02__a__S02__mediante_met_acceptSharingRequest,0.0,false
transition__S05__a__S01__mediante_met_shareWithThirdParty,0.0,false
transition__S06__a__S04__mediante_met_terminate,0.005,false
transition__S05__a__S02__mediante_met_shareWithThirdParty,0.0,false
transition__S06__a__S05__mediante_met_terminate,0.0,false
transition__S02__a__S03__mediante_met_acceptSharingRequest,0.007,false
transition__S06__a__S06__mediante_met_terminate,0.006,false
transition__S02__a__S04__mediante_met_acceptSharingRequest,0.005,false
transition__S05__a__S03__mediante_met_shareWithThirdParty,0.007,false
transition__S02__a__S05__mediante_met_acceptSharingRequest,0.005,false
transition__S05__a__S04__mediante_met_shareWithThirdParty,0.006,false
transition__S05__a__S05__mediante_met_shareWithThirdParty,0.003,false
transition__S02__a__S06__mediante_met_acceptSharingRequest,0.003,false
transition__S01__a__S01__mediante_met_rejectSharingRequest,0.008,false
transition__S05__a__S06__mediante_met_shareWithThirdParty,0.008,false
transition__S03__a__S01__mediante_met_acceptSharingRequest,0.004,false
transition__S01__a__S02__mediante_met_rejectSharingRequest,0.004,false
transition__S03__a__S02__mediante_met_acceptSharingRequest,0.0,false
transition__S01__a__S03__mediante_met_rejectSharingRequest,0.0,false
transition__S03__a__S03__mediante_met_acceptSharingRequest,0.0,false
transition__S01__a__S04__mediante_met_rejectSharingRequest,0.0,false
