Transition, Time (secs), Satisfiable
transition__S04__a__S04__mediante_met_determineWinner,0.582,true
transition__S04__a__S05__mediante_met_determineWinner,0.57,false
transition__S04__a__S06__mediante_met_determineWinner,0.715,false
transition__S05__a__S01__mediante_met_determineWinner,0.4,false
transition__S05__a__S02__mediante_met_determineWinner,0.422,false
transition__S05__a__S03__mediante_met_determineWinner,0.543,false
transition__S05__a__S04__mediante_met_determineWinner,0.569,false
transition__S05__a__S05__mediante_met_determineWinner,0.642,true
transition__S05__a__S06__mediante_met_determineWinner,0.71,false

