Transition, Time (secs), Satisfiable
transition__S04__a__S04__mediante_met_determineWinner,0.801,true
transition__S04__a__S05__mediante_met_determineWinner,0.947,false
transition__S04__a__S06__mediante_met_determineWinner,0.944,false
transition__S05__a__S01__mediante_met_determineWinner,0.553,false
transition__S05__a__S02__mediante_met_determineWinner,0.698,false
transition__S05__a__S03__mediante_met_determineWinner,0.571,false
transition__S05__a__S04__mediante_met_determineWinner,0.901,false
transition__S05__a__S05__mediante_met_determineWinner,0.828,true
transition__S05__a__S06__mediante_met_determineWinner,0.854,false

