Transition, Time (secs), Satisfiable
blue_transition__S03__a__S05__mediante_met_shareWithThirdParty,0.33,false
blue_transition__S03__a__S04__mediante_met_requestLockerAccess,0.014,true
blue_transition__S00__a__S01__mediante_met_constructor,0.042,true
blue_transition__S04__a__S03__mediante_met_rejectSharingRequest,0.009,false
blue_transition__S03__a__S06__mediante_met_terminate,0.008,false
blue_transition__S04__a__S05__mediante_met_acceptSharingRequest,0.013,false
blue_transition__S02__a__S03__mediante_met_uploadDocuments,0.06,true
blue_transition__S05__a__S03__mediante_met_revokeAccessFromThirdParty,0.01,false
blue_transition__S04__a__S06__mediante_met_terminate,0.008,false
blue_transition__S05__a__S06__mediante_met_terminate,0.008,false
blue_transition__S01__a__S02__mediante_met_beginReviewProcess,0.006,true
blue_transition__S05__a__S03__mediante_met_releaseLockerAccess,0.007,true

