Transition, Time (secs), Satisfiable
transition__S04__a__S05__mediante_met_makeOffer,0.021,false
transition__S07__a__S07__mediante_met_makeOffer,0.021,false
transition__S04__a__S06__mediante_met_makeOffer,0.021,false
transition__S07__a__S08__mediante_met_makeOffer,0.024,false
transition__S04__a__S07__mediante_met_makeOffer,0.026,false
transition__S07__a__S09__mediante_met_makeOffer,0.02,false
transition__S04__a__S08__mediante_met_makeOffer,0.02,false
transition__S07__a__S10__mediante_met_makeOffer,0.015,false
transition__S04__a__S09__mediante_met_makeOffer,0.022,false
transition__S08__a__S01__mediante_met_makeOffer,0.017,false
transition__S04__a__S10__mediante_met_makeOffer,0.02,false
transition__S08__a__S02__mediante_met_makeOffer,0.024,false
transition__S01__a__S01__mediante_met_acceptOffer,0.02,false
transition__S08__a__S03__mediante_met_makeOffer,0.022,false
transition__S01__a__S02__mediante_met_acceptOffer,0.017,false
transition__S08__a__S04__mediante_met_makeOffer,0.019,false
transition__S01__a__S03__mediante_met_acceptOffer,0.023,false
transition__S08__a__S05__mediante_met_makeOffer,0.041,false
transition__S01__a__S04__mediante_met_acceptOffer,0.034,false
transition__S01__a__S05__mediante_met_acceptOffer,0.022,false
transition__S08__a__S06__mediante_met_makeOffer,0.029,false
transition__S01__a__S06__mediante_met_acceptOffer,0.019,false
transition__S08__a__S07__mediante_met_makeOffer,0.023,false
transition__S01__a__S07__mediante_met_acceptOffer,0.029,false
transition__S08__a__S08__mediante_met_makeOffer,0.024,false
transition__S01__a__S08__mediante_met_acceptOffer,0.027,false
transition__S08__a__S09__mediante_met_makeOffer,0.022,false
transition__S01__a__S09__mediante_met_acceptOffer,0.025,false
transition__S08__a__S10__mediante_met_makeOffer,0.024,false
transition__S01__a__S10__mediante_met_acceptOffer,0.021,false
transition__S09__a__S01__mediante_met_makeOffer,0.022,false
transition__S02__a__S01__mediante_met_acceptOffer,0.021,false
transition__S09__a__S02__mediante_met_makeOffer,0.018,false
transition__S02__a__S02__mediante_met_acceptOffer,0.019,false
transition__S09__a__S03__mediante_met_makeOffer,0.022,false
transition__S09__a__S04__mediante_met_makeOffer,0.03,false
transition__S09__a__S05__mediante_met_makeOffer,0.025,false
transition__S02__a__S03__mediante_met_acceptOffer,0.069,true
transition__S09__a__S06__mediante_met_makeOffer,0.033,false
transition__S02__a__S04__mediante_met_acceptOffer,0.032,false
transition__S09__a__S07__mediante_met_makeOffer,0.024,false
transition__S02__a__S05__mediante_met_acceptOffer,0.028,false
transition__S09__a__S08__mediante_met_makeOffer,0.027,false
transition__S02__a__S06__mediante_met_acceptOffer,0.021,false
transition__S09__a__S09__mediante_met_makeOffer,0.023,false
transition__S02__a__S07__mediante_met_acceptOffer,0.026,false
transition__S09__a__S10__mediante_met_makeOffer,0.02,false
transition__S02__a__S08__mediante_met_acceptOffer,0.03,false
transition__S05__a__S01__mediante_met_acceptOffer,0.03,false
transition__S02__a__S09__mediante_met_acceptOffer,0.029,false
transition__S05__a__S02__mediante_met_acceptOffer,0.028,false
transition__S02__a__S10__mediante_met_acceptOffer,0.022,false
transition__S05__a__S03__mediante_met_acceptOffer,0.026,false
transition__S03__a__S01__mediante_met_acceptOffer,0.026,false
transition__S05__a__S04__mediante_met_acceptOffer,0.027,false
transition__S03__a__S02__mediante_met_acceptOffer,0.023,false
transition__S05__a__S05__mediante_met_acceptOffer,0.023,false
transition__S03__a__S03__mediante_met_acceptOffer,0.023,false
transition__S05__a__S06__mediante_met_acceptOffer,0.015,false
transition__S03__a__S04__mediante_met_acceptOffer,0.036,false
transition__S05__a__S07__mediante_met_acceptOffer,0.044,false
transition__S03__a__S05__mediante_met_acceptOffer,0.02,false
transition__S05__a__S08__mediante_met_acceptOffer,0.021,false
transition__S03__a__S06__mediante_met_acceptOffer,0.026,false
transition__S05__a__S09__mediante_met_acceptOffer,0.026,false
transition__S03__a__S07__mediante_met_acceptOffer,0.032,false
transition__S05__a__S10__mediante_met_acceptOffer,0.023,false
transition__S03__a__S08__mediante_met_acceptOffer,0.022,false
transition__S06__a__S01__mediante_met_acceptOffer,0.027,false
transition__S03__a__S09__mediante_met_acceptOffer,0.025,false
transition__S06__a__S02__mediante_met_acceptOffer,0.028,false
transition__S03__a__S10__mediante_met_acceptOffer,0.023,false
transition__S06__a__S03__mediante_met_acceptOffer,0.027,false
transition__S04__a__S01__mediante_met_acceptOffer,0.02,false
transition__S06__a__S04__mediante_met_acceptOffer,0.015,false
transition__S04__a__S02__mediante_met_acceptOffer,0.015,false
transition__S06__a__S05__mediante_met_acceptOffer,0.013,false
transition__S04__a__S03__mediante_met_acceptOffer,0.011,false
transition__S04__a__S04__mediante_met_acceptOffer,0.011,false
transition__S06__a__S06__mediante_met_acceptOffer,0.016,false
transition__S04__a__S05__mediante_met_acceptOffer,0.019,false
transition__S06__a__S07__mediante_met_acceptOffer,0.018,false
transition__S04__a__S06__mediante_met_acceptOffer,0.017,false
transition__S06__a__S08__mediante_met_acceptOffer,0.022,false
transition__S04__a__S07__mediante_met_acceptOffer,0.016,false
transition__S06__a__S09__mediante_met_acceptOffer,0.013,false
transition__S04__a__S08__mediante_met_acceptOffer,0.016,false
transition__S06__a__S10__mediante_met_acceptOffer,0.013,false
transition__S04__a__S09__mediante_met_acceptOffer,0.017,false
transition__S07__a__S01__mediante_met_acceptOffer,0.016,false
transition__S04__a__S10__mediante_met_acceptOffer,0.025,false
transition__S07__a__S02__mediante_met_acceptOffer,0.024,false
transition__S07__a__S03__mediante_met_acceptOffer,0.021,false
transition__S01__a__S01__mediante_met_reject,0.021,false
transition__S01__a__S02__mediante_met_reject,0.02,false
transition__S07__a__S04__mediante_met_acceptOffer,0.026,false
transition__S01__a__S03__mediante_met_reject,0.029,false
transition__S07__a__S05__mediante_met_acceptOffer,0.024,false
transition__S07__a__S06__mediante_met_acceptOffer,0.023,false
transition__S01__a__S04__mediante_met_reject,0.025,false
transition__S07__a__S07__mediante_met_acceptOffer,0.034,false
transition__S01__a__S05__mediante_met_reject,0.037,false
transition__S07__a__S08__mediante_met_acceptOffer,0.021,false
transition__S01__a__S06__mediante_met_reject,0.022,false
transition__S07__a__S09__mediante_met_acceptOffer,0.022,false
transition__S01__a__S07__mediante_met_reject,0.026,false
transition__S07__a__S10__mediante_met_acceptOffer,0.026,false
transition__S01__a__S08__mediante_met_reject,0.022,false
transition__S08__a__S01__mediante_met_acceptOffer,0.029,false
transition__S01__a__S09__mediante_met_reject,0.029,false
transition__S08__a__S02__mediante_met_acceptOffer,0.019,false
transition__S01__a__S10__mediante_met_reject,0.026,false
transition__S08__a__S03__mediante_met_acceptOffer,0.017,false
transition__S08__a__S04__mediante_met_acceptOffer,0.015,false
transition__S08__a__S05__mediante_met_acceptOffer,0.024,false
transition__S02__a__S01__mediante_met_reject,0.051,true
transition__S02__a__S02__mediante_met_reject,0.019,false
transition__S08__a__S06__mediante_met_acceptOffer,0.023,false
transition__S02__a__S03__mediante_met_reject,0.02,false
transition__S08__a__S07__mediante_met_acceptOffer,0.021,false
transition__S08__a__S08__mediante_met_acceptOffer,0.024,false
transition__S02__a__S04__mediante_met_reject,0.025,false
transition__S08__a__S09__mediante_met_acceptOffer,0.016,false
transition__S02__a__S05__mediante_met_reject,0.018,false
transition__S08__a__S10__mediante_met_acceptOffer,0.022,false
transition__S02__a__S06__mediante_met_reject,0.029,false
transition__S09__a__S01__mediante_met_acceptOffer,0.022,false
transition__S02__a__S07__mediante_met_reject,0.018,false
transition__S02__a__S08__mediante_met_reject,0.013,false
transition__S09__a__S02__mediante_met_acceptOffer,0.017,false
transition__S09__a__S03__mediante_met_acceptOffer,0.012,false
transition__S02__a__S09__mediante_met_reject,0.016,false
transition__S02__a__S10__mediante_met_reject,0.017,false
transition__S09__a__S04__mediante_met_acceptOffer,0.022,false
transition__S09__a__S05__mediante_met_acceptOffer,0.019,false
transition__S03__a__S01__mediante_met_reject,0.034,true
transition__S09__a__S06__mediante_met_acceptOffer,0.016,false
transition__S03__a__S02__mediante_met_reject,0.016,false
transition__S09__a__S07__mediante_met_acceptOffer,0.02,false
transition__S03__a__S03__mediante_met_reject,0.022,false
transition__S09__a__S08__mediante_met_acceptOffer,0.023,false
transition__S03__a__S04__mediante_met_reject,0.029,false
transition__S09__a__S09__mediante_met_acceptOffer,0.025,false
transition__S03__a__S05__mediante_met_reject,0.024,false
transition__S09__a__S10__mediante_met_acceptOffer,0.022,false
transition__S03__a__S06__mediante_met_reject,0.02,false
transition__S03__a__S07__mediante_met_reject,0.022,false
transition__S05__a__S01__mediante_met_reject,0.039,true
transition__S05__a__S02__mediante_met_reject,0.015,false
